typical month	name	caller1	caller2	caller3	caller4	caller5	caller6	band1	band2	band3	band4	band5	band6	roles	date	location	url
7	Roanoke Railroader	Beth Molaro	George Marshall	Warren Doyle				Great Bear	Toss the Possum	Swallowtail	Playing with Fyre	Rushfest			7/7/2016	Salem VA	http://www.roanokerailroader.com/
7	River Rendevous	George Marshall	Emily Abel					Maivish	Hotpoint						7/15/2016	Coshocton OH	http://www.riverrendezvous.com/
7	Chattaboogie	Janet Shepherd	Charlotte Crittenden					Toss the Possum	Turnip the Beet						7/15/2016	Chattanooga TN	http://contranooga.weebly.com/chattaboogie-2016.html
7	Ashokan Northern Week	David Kaynor	Susan Kevra	Will Mentor	John Krumm			Tidal Wave	Buddy System	Great Bear	Alchemy				7/17/2016	Olivebridge NY	http://ashokan.org/northern-week-camp/
8	Falcon Ridge Folk Festival	George Marshall	Kathryn Wedderburn					Gaslight Tinkers	Pete's Posse	Great Bear					8/5/2016	Hillsdale NY	http://falconridgefolk.com/
8	Camp Damp	Lindsey Dono						The Offbeats							8/5/2016	Juneau AK	http://www.juneaucontras.org/campdamp_nuevo.html
8	Fly the Coop Contra Weekend	Beth Molaro	Cis Hinkle					The Free Raisins	Barefoot	Rushfest					8/12/2016	Gainesville GA	http://atgaga.com/flythecoop
8	Birmingham (Mentone) Old Time Music and Dance Weekend	Cis Hinkle	Bob Dalsemer					Notorious	Red Mountain White Trash						8/19/2016	Mentone AL	https://sites.google.com/site/bfootmad/mentone-dance-weekend
8	Wasatch Wiggle	Maggie Jo Saylor						Latter Day Lizards							8/19/2016	Salt Lake City UT	http://www.wasatchwiggle.org/home_high.html
8	Balance the Bay	Mary Wesley	Susan Petrick					Nor'Easter	Sassafras Stomp						8/19/2016	San Francisco	https://www.bacds.org/camps/btb/
8	Burning Man Contra Camp	Michael Karcher	Frannie Marr					unnnamed	Rushfest						8/30/2016	Gerlach NV	http://www.burningmancontradance.com/
9	Northwest Passage Dance Camp	Bruce Hamilton	Joanna Reiner					The Tricky Brits	Alchemy						9/2/2016	Rhododendron OR	http://www.nwpassagedancecamp.org/
9	Dance Camp North	Mary Wesley						Mean Lids							9/2/2016	Fairbanks AK	http://contraborealis.org/dance-camp-north/
9	Labor Day Dance Away	Susan Petrick	Sarah VanNorstrand					Triple A	Notorious						9/2/2016	Julian CA	http://www.caldancecoop.org/cgi/lddadriver.cgi
9	Labor Day Dawndance	Adina Gordon	Ron Blechner	Will Mentor				Maivish	Pete's Posse	Nova					9/4/2016	Brattleboro VT	http://www.dawndance.org/
9	Oldtone Roots Festival	Quena Crain						Russet Trio	Mountain Laurel						9/8/2016	Hillsdale NY	
9	Moondance Dance Weekend	Cis Hinkle	Jesse Edgerton					Maivish	Playing with Fyre						9/9/2016	Pickens SC	http://www.harvestmoonfolk.org/index.php/moondance
9	Footfall Dance Weekend	George Marshall	Sue Rosen					Frost and Fire	Pete's Posse	Triple Helix					9/9/2016	High View WV	http://www.footfalldance.com/index.php
9	Bear Hug Dance Camp	Roger Diggle	Michael Karcher					Stringrays	Countercurrent						9/9/2016	Rollins MT	http://www.missoulafolk.org/bearhug/Bear_Hug_2016.htm
9	Echo Summit	Erik Weberg	Lisa Greenleaf					JEMS	Quarks						9/16/2016	Sacremento CA	https://sactocds.wordpress.com/special-events/echo-summit-dance-camp-2016/
9	Michigan Dance Heritage Fall Weekend	Bev Bernbaum						O'Schraves							9/16/2016	Lexington MI	http://mdh-online.org/fall/
9	Star Hampshire Traditional Music and Dance Weekend	Will Mentor						unnamed							9/16/2016	Portsmouth NH	http://starisland.org/program/star-hampshire-music-and-dance-23rd-annual-traditional-music-and-dance-weekend/
9	Squirrel Moon Contra Dance weekend	Tom Hinds						Pat's Properllers							9/16/2016	Dodgeville WI	http://www.squirrelmoon.org/
9	Feet Retreat	Sarah VanNorstrand	Emily Abel					Great Bear	House Red	Rushfest					9/16/2016	Ellerbe NC	https://www.feetretreat.com/feetretreat/
8	Splash Dance Weekend	Open Calling						Open Band							8/26/2017	Hendersonville, NC	http://oldfarmersball.com/contra-dances/splash-dance-weekend/
9	Chehalis Dance Weekend	Dave Eisenstadter	Charlotte Crittenden					Countercurrent	Maivish						9/23/2016	Chehalis BC	http://www.vcn.bc.ca/vcountry/chehalis/
9	Youth Dance Weekend	Michael Karcher	Miriam Newman					Pete's Posse	Turnip the Beet	Rushfest					9/23/2016	Weston VT	http://youthdanceweekend.org/
9	Adirondack Dance Weekend	Brian Hamshar	Adina Gordon					Party of Three	Maivish	Spare Parts					9/30/2016	Silver Bay NY	http://www.danceflurry.org/events_adirondack.php
9	ContraShock	Will Mentor	Gaye Fifer					Mean Lids	Barefoot						9/30/2016	Brooklyn NY	http://contrashock.org/
9	Looking Glass	Michael Hamilton	Lauren Peckman					The Ripples	Turnip the Beet						9/30/2016	Lansing MI	http://www.lgmaa.org/lg_festival.html
10	ContraStock	Mary Wesley	Gaye Fifer	Will Mentor				Stringrays	Barefoot	Mean Lids					10/2/2016	Glen Echo MD	http://www.glenechopark.org/contrastock-vi-all-day-dances
10	Lady of the Lake Fall Camp	Susan Petrick						Joyride	Dog Paw						10/7/2016	Kennewick WA 	http://www.ladyofthelake.org/fallwend/
10	Harvest Moon Dance Festival	Bob Isaacs	Dana Parkinson					Clayfoot Strutters	Nova						10/14/2016	Santa Barbara CA	http://www.sbcds.org/hm/
10	Gender-Free Dance Camp (Fall)	Carol Ormand						Les Z-Boys							10/14/2016	Becket MA	http://lcfd.org/lcfd/lcfd-fall-dance-camp/
10	Mountain Madness Contra Dance Weekend	Will Mentor	Beth Molaro					Stringrays		Toss the Possum	Rushfest				10/14/2016	Jonesborough TN	http://www.historicjonesboroughdancesociety.com/site/calendar/
10	Phylla Mae Fall Fest	Bev Bernbaum	Kathy Anderson					Pete's Posse							10/14/2016	Fayetteville NY	https://syracusecountrydancers.org/special-events/phylla-mae-fall-fest/
10	Peterbough Fall Ball														10/15/2016	Peterborough NH	http://www.monadnockfolk.org/?tribe_events=%E2%98%BC-%E2%98%BC-%E2%98%BC-peterborough-fall-ball-2016
10	Lake Eden Arts Festival - Fall	Lisa Greenleaf	Emily Abel					Elixir	Coffee Zombies	Buddy System	DJ Jor-D				10/20/2016	Black Mountain NC	http://www.theleaf.org/the-festival/
10	Cville Fall Festival	Sarah VanNorstrand						Stringrays							10/21/2016	Charlottesville VA	https://contracorners.com/cville_fall_festival
10	Solefest Dance Weekend	Diane Silver						The Free Raisins							10/21/2016	Springfield MO	http://www.springfieldcontra.org/solefest.htm
10	Tree Town Stomp	George Marshall	Frank Buschelmann					Wild Asparagus	Changeling						10/21/2016	Ann Arbor MI	http://aactmad.org/tts/
10	Music City Masquerade	Diane Silver	Charlotte Crittenden					Nashville Ceili Band	The Latter Day Lizards	Rushfest					10/28/2016	Nashville TN	http://nashvillecountrydancers.org/music-city-masquerade-2/
10	Dancing Fool Fall Fool	Will Mentor	Jeremy Korr					Mean Lids	Notorious						10/28/2016	Seattle WA	http://dancingfool.net/
10	Boo Camp	Noralyn Parsons	Erik Erhardt					The Adobe Brothers	Thrifters						10/28/2017	Jemenz Springs NM	http://folkmads.org/events/camps/boo-camp/
	Foggy Moon Dance Weekend	George Marshall	Warren Blier					Barefoot	Elixir	BLAM!	The Crabapples				11/4/2017	Monterey CA	http://montereycdc.webs.com/foggymoondanceweekend.htm
11	Hey Fever Dance Weekend	Sarah VanNorstrand	Rick Mohr					Great Bear	Free Raisins						11/4/2016	Ottawa ON	http://www.ottawacontra.ca/heyFever/
11	Dance in the Desert	Erik Weberg	Frannie Marr					Contra Sutra	Privy Tippers						11/11/2016	Oracle AZ	http://tftm.org/ditd/
11	Pittsburgh Fall Dance Weekend	Gaye Fifer	Michael Hamilton					Coffee Zombies	Turnip the Beet	Rushfest					11/11/2016	Pittsburgh PA	http://pittsburghcontra.org/fdw/
11	Danceable Feast	George Marshall						Wild Asparagus							11/11/2016	Eugene OR	http://danceablefeast.org/
11	Head for the Hills Dance Weekend	various						Hold the Mustard	Raise the Roof						11/11/2016	Kresgeville PA	http://www.head-for-the-hills.com/
11	Contra Fest	Dugan Murphy						Unnamed							11/11/2016	Albany NY	http://www.danceflurry.org/contrafest.php
11	Fleur-de-Lis Fling	Susan Kevra	Susan Michaels					Genticorum	Pete's Posse						11/18/2016	Louisville KY	http://www.loukyfleurfling.org/
11	Rochester Thanksgiving Dance Weekend	Mary Wesley	Dave Smulker	Rebecca McCallum				Pete's Posse	Tempest						11/25/2016	Rochester, NY	https://www.cdrochester.org/?page_id=388
12	Winter Warmup Dance Weekend	Cis Hinkle	Frank Buschelmann					Stringrays	The Ripples						12/2/2016	Worthington OH	http://bigscioty.com/warmup.html
12	Contradancers Delight Holiday (Winter)	Beth Molaro	Dugan Murphy					Lift Ticket	Buddy System	Toss the Possum	Barefoot				12/26/2016	Morgantown WV	http://www.contradancersdelight.com/
11	Atlanta Dance Weekend	Cis Hinkle	Sarah VanNorstrand	Deanna Palumbo				Great Bear	Barefoot	The Stuff					11/11/2016	Atlanta GA	http://www.contradance.org/html/weekend/
5	Catapult!															Atlanta GA	not happening in 2016
11	Fire Ant Frolic	Susan Petrick						unnamed	Rushfest						11/11/2016	Austin TX	http://www.fireantfrolic.org/
10	Gypsy Moon Ball	Cis Hinkle	Bradley Smith					Party of Three	Mulberry Street						10/21/2016	Indianapolis IN	http://www.indycontra.org/gypsy-moon-ball/
11	Pilgrim's Progression Dance Weekend	Adina Gordon						Steam							11/18/2016	Lawrence KS	http://www.lawrencebarndance.org/lbdawknd.htm
9	Mountain View Dance Festival	Bob Isaacs						Lost and Nameless							9/9/2016	Mountain View AR	http://www.arkansascountrydance.org/mtView.htm
11	ContraCopia	Dave Eisenstadter	Beth Molaro	Frannie Marr				Decalf Zombies	Mean Lids	Gaslight Tinkers					11/26/2016	Philadelphia PA	http://www.thursdaycontra.com/contracopia/
11	12-hour Twirl	Jeremy Korr	Lindsey Dono	Susan Pleck	Kelsey Hartman			Mean Lids	Syncopaths	Uncle Farmer					11/19/2016	Hayward CA	https://sites.google.com/site/haywardcontra/home/tdogs-12-hour-twirl
10	Florida Fall Ball	Frannie Marr						Lift Ticket	Category 5							Tampa FL	http://www.tampabaycontra.com/
	end of active list																
	Spring Thaw Weekend															Toronto ON	cancelled for 2016
	Great Bear Groove																not in 2016
