typical month	name	caller1	caller2	caller3	caller4	caller5	caller6	band1	band2	band3	band4	band5	band6	roles	date	location	url
1	A New Year's Affair	Jesse Edgerton	Charlotte Crittenden					Playing with Fyre	Buddy System						1/2/2016	Jonesborough TN	http://www.historicjonesboroughdancesociety.com/site/calendar/
1	Phoenix Winter Frolic	Adina Gordon						The Stringrays							1/8/2016	Mesa AZ	http://www.phxtmd.org/frolics-main.html
1	Chambana Jan Jam	Dugan Murphy	Anne Huber	Scott Meyer	Jonathan Silver			Ripples	Mean Lids						1/8/2016	Urbana IL	http://www.urbana-contra.org/jan_jam.html
1	Orange Blossom Ball	Bev Bernbaum	Susan Kevra	Jeremy Korr				The Avant Gardeners	The Moving Violations						1/15/2016	Daytona FL	http://www.orangeblossomcontra.com/
1	Ralph Page Dance Legacy Weekend	Dave Eisenstadter	Chrissy Fowler	Tony Parkes				Old Grey Goose	Pete's Posse						1/15/2016	Durham NH	http://ralphpage.neffa.org/
1	Shenandoah Shindig	Will Mentor	Sarah VanNorstrand					Great Bear	Maivish	Buddy System					1/15/2016	Dayton VA	http://daytoncontradance.wix.com/shenandoah-shindig
1	Contra Carnivale	Bob Isaacs	Susan Michaels	Nils Fredland				Latter Day Lizards	Stringrays	Syncopaths					1/16/2016	San Louis Obispo CA	http://www.cccds.org/ContraCarnivale/
1	Contra Swing Shift Weekend	Dana Parkinson						Mean Lids							1/22/2016	Berea KY	http://www.swingshift.ltda.ws/
1	Florida Snow Ball	Frannie Marr	Cis Hinkle					Syncopaths	The JEMS						1/22/2016	Gulfport FL	http://floridasnowball.tampabaycontra.com/
1	Peterborough Snow Ball	Steve Zakon-Anderson	Will Mentor	Lisa Greenleaf	Sarah VanNorstrand			Double Date	Nor'Easter	Nova	Great Bear				1/23/2016	Peterborough NH	http://www.monadnockfolk.org/?tribe_events=%E2%98%BC-%E2%98%BC-%E2%98%BC-peterborough-snow-ball-2016
1	Wintergreen Dance Weekend	Erik Weberg						The Quarks	Sassafras Stomp						1/29/2016	Bozeman MT	http://www.bozemanfolklore.org/wintergreen.html
2	Tropical Dance Vacation: St Croix	George Marshall						Wild Asparagus							2/3/2016	St Croix	http://www.tropicaldancevacation.com/st-croix.html
2	Dancing Fool Feb Fool	Cis Hinkle	Frannie Marr					Elixir	Riptide						2/5/2016	Seattle WA	http://dancingfool.net/
2	Corvallis Contra Dance Weekend	Bob Isaacs	Frannie Marr					Great Bear	Contra Sutra						2/12/2016	Corvallis OR	http://corvallisfolklore.org/ccw/
2	Cabin Fever/Knoxville Dance Festival	Diane Silver						JEMS	Coffee Zombies						2/12/2016	Knoxville TN	http://kcd.gmn-usa.com/
2	Dance Flurry Festival	Lisa Greenleaf	Will Mentor					Crowfoot	Clayfoot Strutters						2/12/2016	Saratoa Springs NY	http://www.flurryfestival.org/
2	Ski Dance Weekend	Janine Smith	Bob Mathis					Unnamed							2/12/2016	Laurel Highlands PA	https://web.archive.org/web/20160109235355/http://www.skidance.com/
2	Bayou Bedlam	Susan Kevra						Nor'Easter							2/16/2016	Houston TX	http://www.bayoubedlam.org/
2	Ann Arbor Dawn Dance Weekend	Bev Bernbaum						Maivish							2/19/2016	Ann Arbor MI	http://aactmad.org/ddw/
2	Midwinter Meltdown Dance Weekend	Lisa Harris	Jim Williams					Squirrelheads and Gravy	Dire Ducks						2/19/2016	Lawrence KS	http://www.lawrencebarndance.org/mmwknd.html
2	Stellar Days & Nights	Bill Olson	Erik Erhardt					Ti'Acadie	unnamed						2/23/2016	Buena Vista CO	http://www.stellardaysandnights.org/
2	Fiddling Frog Dance Festival	Lisa Greenleaf	Luke Donforth					Giant Robot Dance	The JEMS						2/26/2016	Pasadena CA	http://www.caldancecoop.org/cgi/frogdriver.cgi
2	Chance Dance Weekend	Open Calling						Euphor	Ripples	Turnip the Beet					2/26/2016	Cape Girardeau MO	http://chance-dance.angelfire.com/
2	Dancing with the GODS	Will Mentor	Angela DeCarlis					Night Watch	Notorious						2/26/2016	Gainesville FL	http://godsdance.org/?q=weekend2016
3	Lava Meltdown	Mary Wesley						Maivish	Bandage a Trois						3/4/2016	Lava Hot Springs ID	http://www.lavameltdown.info/
3	Tropical Dance Vacation: Hawaii	George Marshall						Maivish							3/7/2016	Big Island, Hawaii	http://www.tropicaldancevacation.com/hawaii.html
3	Memfest Dance Weekend	Cis Hinkle						The Rhythm Raptors							3/11/2016	Memphis TN	http://www.memphiscontra.org/memfest.html
3	Spring Fever Dance Weekend	Gaye Fifer	Nikki Herbst	Adina Gordon				Triple A	Wilson's Arch	The Whoots					3/11/2016	Aptos CA	https://www.bacds.org/camps/sprwkend2016/
3	Phoenix Spring Frolic	Susan Kevra						The Avant Gardeners							3/11/2016	Mesa AZ	http://www.phxtmd.org/frolics-main.html
3	Pigtown Fling	Will Mentor	Liz Natter					Riptide	Changeling						3/11/2016	Cincinattia OH	http://www.cincinnaticontradance.org/pigtown.htm
3	Spring Breakdown Dance Weekend	Steve Zakon-Anderson						Nor'Easter							3/18/2016	Columbia MO	https://mmtdcolumbia.org/dance-weekend-2-2/
3	Gypsy Meltdown	George Marshall	Beth Molaro					Wild Asparagus	Rushfest						3/18/2016	Tega Cay SC	http://www.charlottedancegypsies.org/meltdown.html
3	Appleseed Allemande	Kate Power						Banjo Tramps							3/19/2016	North Manchester IN	http://www.contrafortwayne.org/Appleseed%20Allemande.html
3	DownEast Country Dance Festival	Bill Olson	Linda Leslie					Nor'Easter	Barefoot						3/25/2016	Topsham ME	http://www.deffa.org/festival/
4	Epicenter dance weekend	Lisa Greenleaf	Nils Fredland					JigJazz	Elixir						4/1/2016	Mill Valley CA	http://nbcds.org/epicenter2016/index.html
4	University of Chicago Dance Weekend	Maggie Jo Saylor	Sarah VanNorstrand					Great Bear	Buddy System						4/1/2016	Chicago IL	http://uchicagofac.wix.com/contra#!danceweekend/c2414
4	Cascade Contras Dance Camp	Cis Hinkle	Lindsey Dono					Notorious	Nettles						4/8/2016	Fall Creek OR	http://www.eugenefolklore.org/CascadeContras
4	SF Bay Queer Contra Dance Camp	Frannie Marr						Syncopaths							4/8/2016	Aptos CA	http://www.lcfd.org/sf/DanceCamp/wcamp.html
4	Chesapeake Dance Weekend	Lisa Greenleaf	Larry Edelman					Stringrays	Hogwire Stringband						4/8/2016	Edgewater MD	http://www.chesapeakedanceweekend.org/
4	Springforth Ball	Nils Fredland						Elixir							4/8/2016	Richmond VA	http://tadamsva.org/springforth/
4	Call of the Loon Dance Weekend	Sue Hulsether						Wild Asparagus	Contratopia						4/8/2016	Minneapolis MN	http://calloftheloon.org/
4	Spring Dance Romance	Beth Molaro	Will Mentor					Coffee Zombies	Nor'Easter	Rushfest					4/15/2016	Chapel Hill NC	http://www.tcdancers.org/SDR/sdr.shtml
4	Palmetto Bug Stomp	Nils Fredland	Terry Doyle					Notorious	Contraforce						4/15/2016	Charleston SC	http://charlestonfolk.weebly.com/palmetto-bug-stomp.html
4	When in Doubt Swing	Susan Michaels						Syncopaths							4/15/2016	Dallas TX	http://www.nttds.org/wids.html
4	NEFFA	various						various							4/15/2016	Mansfield MA	http://neffa.org/What_is_Festival.html
4	Fiddlehead Frolic	Mary Wesley						Mean Lids							4/16/2016	Ithaca NY	http://events.cornell.edu/event/fiddlehead_frolic
4	Hands Four Spring Dance Weekend	Wendy Graham						Elixir							4/21/2016	Berea KY	http://www.hands4-berea.com/Workshops.html
4	Dandelion Romp	Adina Gordon	Beth Molaro					Nor'Easter	Anadama						4/22/2016	Oberlin OH	http://oberlin.edu/stuorg/dromp/
4	Portland Raindance Weekend	Rick Mohr	Deb Comly					Hotpoint	Clew Bay						4/22/2016	Portland OR	http://www.portlandraindance.org/
4	Northfield Winter Stomp	Robin Nelson						Contratopia							4/22/2016	Northfield MN	https://www.facebook.com/NorthfieldContraDance/
4	Trillium Twirl	Sarah VanNorstrand						Free Raisins							4/22/2016	Dowling MI	https://sites.google.com/site/trilliumtwirl/
4	Spring Fling Owen Sound	Carol Ormand	Frank Francalanza					The O'Schraves	Scatter the Cats						4/29/2016	Owen Sound ON	http://fiddlefern.ca/sf_2016/
4	Mad Robin Romp	Dugan Murphy						Locust Honey							4/29/2016	Bloomington IN	http://bloomingtoncontra.org/mad-robin-romp/
5	Gender-Free Dance Camp (Spring)	Andy Shore						Frost and Fire							5/6/2016	Woodstock CT	http://lcfd.org/lcfd/lcfd-spring-dance-camp/
5	Whitewater Whirl	Gaye Fifer	Tom Hinds					Maivish	Contrarians	Rushfest					5/6/2016	Fayetteville WV	http://www.whitewaterwhirl.org/
5	Lake Eden Arts Festival - Spring	Steve Zakon-Anderson	Will Mentor					The Stringrays	Nova	Buddy System					5/12/2016	Black Mountain NC	http://www.theleaf.org/the-festival/
5	May Madness Dance Weekend	Bev Bernbaum	Jeremy Korr					Joyride	Maivish						5/13/2016	Clarkdale AZ	http://www.danceinaz.org/
5	Almost Heaven Dance Weekend	George Marshall	Janine Smith					Great Bear	Coffee Zombies	Rushfest					5/19/2016	Darlington MD	https://sites.google.com/site/ahsince1988/home
5	Blue Moon Dance Weekend	Susan Michaels						Nor'Easter	unnamed						5/20/2016	Huntsville AL	http://huntsvillecontra.dance/BlueMoon/
5	Butterfly Whirl	Cis Hinkle	Seth Tepfer	Janet Shepherd				Latter Day Lizards	Mean Lids	Contrazz					5/27/2016	Clarkston GA	http://butterflywhirl.com/
5	Meet Me in St Louis Dance Weekend	David Kirchner	Bradley Smith					The Ripples	Stringdancer						5/27/2016	Kirkwood MO	http://www.childgrove.org/index.php/mmisl-home
5	FolkMADness Music & Dance Camp	Frannie Marr	Mary Wesley					Nova	Steam						5/27/2016	Soccoro NM	http://folkmads.org/events/camps/folkmadness/
5	Dancing Bear Dance Camp	Linda Leslie	Steve Pike					Great Bear	Buster						5/27/2016	Wasilla AK	http://www.thedancingbears.com/Dance-Camp.html
5	Wheatland Traditional Arts Weekend	Ron Buchanan	Pop Wagner					Maivish	Rhythm Billies						5/27/2016	Remus, MI	http://www.wheatlandmusic.org/traditional-arts-weekend/
5	Camp Sturtevant Dance Weekend	Susan Michaels						unnamed							5/27/2016	Arcadia CA	http://www.caldancecoop.org/cgi/studriver.cgi
5	Memorial Day Dawndance	Bob Isaacs	Lisa Greenleaf	Luke Donforth				Coracree	Nor'Easter	The Figments					5/28/2016	Brattleboro VT	http://www.dawndance.org/
6	Dance Trance Weekend	Adina Gordon	Darlene Underwood					Free Raisins							6/10/2016	Lexington KY	http://www.dancetrance.ltda.ws/
6	Flamingo Fling Weekend	Mary Wesley						Great Bear							6/10/2016	Oaklahoma City OK	http://scissortail.org/special-events/flamingo-fling/
6	Swing into Summer	Adina Gordon	Michael Hamilton					Gallimaufry	unnamed						6/17/2016	Plymouth MA	http://www.swingintosummer.org/
6	Faultline Frolic	Cis Hinkle	Warren Blier					Notorious	Paddy Ryan's Dream						6/17/2016	Santa Rosa CA	http://www.nbcds.org/faultlinefrolic2016.html
6	Asheville Summer Soiree	Gaye Fifer	Charlotte Crittenden					Syncopaths	Contrazz	Toss the Possum	Rushfest				6/17/2016	Asheville NC	http://www.ashevillecontra.com/
6	Lady of the Lake June Week	Lisa Greenleaf	Will Mentor	Brooke Friendly				The Moving Violations	The Figments	The Canote Brothers					6/19/2016	Kennewick WA 	http://www.ladyofthelake.org/june-week/
6	Mostly Contra Week	Beth Molaro						Latter Day Lizards							6/24/2016	Copenhagen Denmark	http://squaresandcontras.dk/data/bilag/2016_folkations_weekend_engelsk.pdf?
6	June Moon Dance Weekend	Sarah VanNorstrand	Gaye Fifer	Ron Buchanan				The Contrarians	Hotpoint						6/24/2016	Morgantown WV	http://www.morgantowndance.com/weekend-htm/
6	Old Songs Festival	Susan Kevra						Gaslight Tinkers	Pete's Posse						6/24/2016	Voorheesville NY	http://festival.oldsongs.org/
6	BACDS American Dance and Music Week	Cis Hinkle	Will Mentor					Genticorum	Stringrays						6/26/2016	La Honda CA	https://www.bacds.org/camps/amweek/
7	July Fourth at Pinewoods	Lisa Greenleaf						unnnamed							6/30/2016	Plymouth MA	http://www.cds-boston.org/july4/july4.html
7	Ooh La La Dance Weekend	David Millstone	Susan Petrick					Maivish	Sassafras Stomp						7/1/2016	Richmond QC	http://oohlaladance.com/
7	Delafield IndepenDance Daze Weekend	Luke Donforth	Meg Dedolph					Free Raisins	Gatecrashers						7/1/2016	Delafield WI	http://www.delafieldcontra.com/Delafield_Contra_Weekend.html
7	Contradancers Delight Holiday (Summer)	Beth Molaro	Terry Doyle	Emily Abel				Great Bear	Toss the Possum	Playing with Fyre	Rushfest				7/1/2016		http://www.contradancersdelight.com/about-summer-cdh-tst/
