typical month	name	caller1	caller2	caller3	caller4	caller5	caller6	band1	band2	band3	band4	band5	band6	roles	start date	end date	location	url	
1	Chambana Jan Jam	Bev Bernbaum						Brazenkeys	The Mean Lids					Larks / Robins	1/10/2025	1/12/2025	Urbana IL	https://www.facebook.com/events/1566272547606915	
1	Ralph Page Dance Legacy Weekend	Steve Zakon-Anderson	Sue Rosen	Tod Whittemore				Sugar River Band	Unnamed	Unnamed					1/10/2025	1/11/2025	Worcester MA	https://www.neffa.org/annual-ralph-page-dance-event/	
1	Contra Carnivale	Lisa Greenleaf	Frannie Marr	Jeremy Korr				Stringrays	Gaslight Tinkers	Nova				Larks / Robins	1/17/2025	1/19/2025	San Luis Obispo CA	https://contracarnivale.org/	
1	Florida Snow Ball	Nils Fredland	Beth Molaro					Elixir	Playing with Fyre						1/24/2025	1/26/2025	Gulfport FL	http://floridasnowball.tampabaycontra.com/	
1	Stellar Days and Nights	Seth Tepfer	Wendy Graham					Countercurrent	Harken!						1/17/2025	1/20/2025	Buena Vista CO	https://rockymountainranchdance.com	
1	Wintergreen	Gaye Fifer	Koren Wake					Turnip the Beet	Northern Aire						1/24/2025	1/26/2025	Bozeman MT	https://bozemanfolklore.org/wintergreen-2025/	
1	Chattaboogie	Timothy Klein	Janet Shepherd					Turnip the Beet	Kingfisher						1/10/2025	1/12/2025	Chattanooga TN	https://register.contranooga.us/	
1	Peterbough Snow Ball	Bob Isaacs	Will Mentor	Lisa Greenleaf	Steve Zakon-Anderson			Red Case Band	Stove Dragon	Dam Beavers	Unnamed				1/25/2025	1/25/2025	Peterborough NH	https://www.monadnockfolk.org/event/%e2%98%bc-%e2%98%bc-%e2%98%bc-peterborough-snow-ball-2025/	
2	Fiddling Frog Dance Festival	Susan Petrick	Lindsey Dono					The Syncopaths	River Road					Larks / Robins	2/21/2025	2/23/2025	Pasadena CA	https://www.sccdc.org/special-events/fiddling-frog/	
2	Phoenix Winter Frolic	Jacqui Grennan						Playing with Fyre							2/7/2025	2/8/2025	Mesa AZ	https://phxtmd.org/winter-frolic-2025	
2	Supersonic	Seth Tepfer	Cis Hinkle					Potato Factory	Joyride						2/7/2025	2/9/2025	Seattle WA	https://www.supersoniccontra.com/	
2	Dancing Fish: February	Steve Zakon-Anderson						Stomp Rocket							1/31/2025	2/1/2025	Melrose FL	https://dancingfish.dance/	
2	Tropical Dance Vacation: St Croix	George Marshall	Lisa Greenleaf					Wild Asparagus							2/5/2025	2/12/2025	St Croix	https://www.tropicaldancevacation.com/contra-week.html	
2	Cabin Fever	Claire Takemori						Spintuition	Ice Cream Truckers						2/7/2025	2/9/2025	Knoxville TN	https://www.knoxvillecontra.org/cfschedule	
2	Dance Flurry Festival	Alex Deis-Lauby	Maia McCormick	Steve Zakon-Anderson	Luke Donforth	Casey Carr		Faux Paws	The Dam Beavers	Good Company	Stomp Rocket	Barefoot			2/14/2025	2/16/2025	Saratoga Springs NY	http://www.flurryfestival.org/	
2	Bayou Bedlam	Lisa Greenleaf						Stringrays	Tea&Whiskey						2/21/2025	2/23/2025	Houston TX	http://www.bayoubedlam.org/	
2	Corvallis Contra Weekend	Will Mentor	Lindsey Dono					Root System	Nova					Larks / Robins	2/14/2024	2/16/2024	Corvallis OR	https://corvallisfolklore.org/home/ccw/	
2	Galhalla	Sarah Kaiser	Lo Peckman					Baba Yaga's Stew	Alyssa Catlin Band					Larks / Robins	2/21/2025	2/23/2025	St Louis MO	https://www.shedances.org/galhalla	
3	Lava Meltdown	Seth Tepfer						Avourneen	Bandage a Trois						2/28/2025	3/2/2025	Lava Hot Springs ID	http://www.lavameltdown2025.com/	
3	Carolina Meltdown	Rick Mohr	Darlene Underwood					Topspin	Hot Coffee Breakdown						3/21/2025	3/23/2025	Lake Wylie SC	https://www.charlottecontradance.org/carolina-meltdown	
3	Pigtown Fling	Gaye Fifer	Seth Tepfer					The Engine Room	The Mean Lids						3/21/2025	3/23/2025	Cincinattia OH	https://www.pigtownfling.com/	
3	DownEast Country Dance Festival	Rick Mohr	Chrissy Fowler	Maggie Robinson				River Road	Franklin County Fiddlers	Pineland Fiddlers					3/28/2025	3/29/2025	Topsham ME	http://www.deffa.org/festival/	
3	Spring Breakdown Dance Weekend	Seth Tepfer						Playing with Fyre							3/14/2025	3/16/2025	Columbia MO	https://mmtd.wordpress.com/dance-weekend-2025/	
