typical month	name	caller1	caller2	caller3	caller4	caller5	caller6	band1	band2	band3	band4	band5	band6	roles	start date	end date	location	url	
8	Cascade of Music & Dance at Louise																	https://camp.cdss.org/camp-weeks/cascade-of-music-dance-at-louise/	
8	Campers’ Week at Pinewoods																Plymouth MA	https://camp.cdss.org/camp-weeks/campers-week-at-pinewoods/	
8	Falcon Ridge Folk Festival																Goshen CT	http://falconridgefolk.com/	
8	Camp Damp																Juneau AK	http://www.juneaucontras.org/dance_camp_2023_stay_tuned.html	
8	Mentone																Mentone AL	http://www.footmadbirmingham.org/mentone.html	
8	Balance the Bay																San Francisco CA	https://www.bacds.org/camps/btb/	
8	Dance S’More																Harrison, ID	https://ladyofthelake.org/dancesmore	
9	Dancing Fish: September							Kingfisher							9/6/2024	9/7/2024	Melrose FL	https://dancingfish.dance/	
9	Contravana																Rochester NY	https://cdrochester.org/	
9	Rendezvous Dance Weekend																Boulder CO	https://cfootmad.org/rendezvous	
9	Michigan Dance Heritage Fall Weekend																Lexington MI	https://michigandanceheritage.org/fall/	
9	Dance Camp North																Fairbanks AK	https://contraborealis.org/2023-dance-camp-north-talent/	
9	Moondance Dance Weekend																Pickens SC	https://moondancesc.weebly.com/	
9	Feet Retreat																Ellerbe NC	https://www.feetretreat.com/feet-retreat-dance-weekend-2023/	
9	Bear Hug Dance Camp														9/6/2024		Rollins MT	https://www.missoulafolk.org/bearhug	
9	Squirrel Moon Contra Dance weekend																Dodgeville WI	http://www.squirrelmoon.org/	
9	Echo Summit																Camp Sacremento	https://sactocds.wordpress.com/special-events/echo-summit-dance-camp-2023/	
9	Labor Day Dance Away																Julian CA	https://www.caldancecoop.org/special-events/labor-day-dance-away-2021/	next in 2024
9	Chehalis Dance Weekend																Surrey BC	http://www.vcn.bc.ca/vcountry/chehalis/	
9	Youth Dance Weekend													Larks / Robins			Weston VT	http://youthdanceweekend.org/	
9	Adirondack Dance Weekend																Silver Bay NY	https://www.danceflurry.org/adirondack-dance-weekend/	
