typical month	name	caller1	caller2	caller3	caller4	caller5	caller6	band1	band2	band3	band4	band5	band6	roles	date	location	url
4	Hands Four Spring Dance Weekend	George Marshall						Wild Asparagus							4/27/2018	Berea KY	http://www.hands4-berea.com/Workshops.html
4	Dandelion Romp	Dana Parkinson	Cis Hinkle					Pete's Posse	Great Bear	Oshima Triplets				Larks / Ravens	4/6/2018	Oberlin OH	http://oberlin.edu/stuorg/dromp/
4	Portland Raindance Weekend	Cis Hinkle	Ron Buchanan					Notorious	Latter Day Lizards						4/27/2018	Portland OR	http://www.portlandraindance.org/
4	Trillium Twirl	Sarah Van Norstrand						Changeling							4/27/2018	Dowling MI	https://sites.google.com/site/trilliumtwirl/
4	Spring Fling Owen Sound	Sarah Van Norstrand	Frank Francalanza					Scatter the Cats	Unnamed						5/4/2018	Owen Sound ON	http://fiddlefern.ca/spring-fling/
4	Mad Robin Romp	Alex Deis-Lauby						Countercurrent							5/4/2018	Bloomington IA	http://bloomingtoncontra.org/mad-robin-romp/
5	Gender-Free Dance Camp (Spring)	Maia McCormick						Free Raisins						Larks / Ravens	5/4/2018	Woodstock CT	http://lcfd.org/lcfd/lcfd-spring-dance-camp/
5	Whitewater Whirl	Cary Ravitz	Gaye Fifer					Contrarians	Ripples						5/4/2018	Fayetteville WV	http://www.whitewaterwhirl.org/
5	Lake Eden Arts Festival - Spring	Will Mentor	Emily Rush					Oshima Brothers	Wake up Robin	Turnip the Beet	Buddy System				5/10/2018	Black Mountain NC	http://www.theleaf.org/the-festival/
5	May Madness Dance Weekend	Rick Mohr	Seth Tepfer					Rhythm Raptors	Buddy System						4/27/2018	Clarkdale AZ	http://www.danceinaz.org/
5	Almost Heaven Dance Weekend	Alex Deis-Lauby	George Marshall	Owen Morrison				Devine Comedy	Morrison Brothers Band	Swallowtail					5/17/2018	Darlington MD	https://sites.google.com/site/ahsince1988/home
5	Form the Ocean	Gaye Fifer						Anadama						Larks / Ravens	5/18/2018	Becket MA	https://www.formtheocean.com/
5	Meet Me in St Louis Dance Weekend	Will Mentor	Jim Hemphill					Buddy System	Uncle Farmer						5/25/2018	Kirkwood MO	http://www.childgrove.org/index.php/mmisl-home
5	FolkMADness Music & Dance Camp	Kalia Kliban	Bob Isaacs					Joyride	Nearest and Dearest						5/25/2018	Soccoro NM	http://folkmads.org/events/camps/folkmadness/
5	Dancing Bear Dance Camp	Carol Ormand	David Millstone					Stomp Rocket	Buster						5/25/2018	Wasilla AK	http://www.thedancingbears.com/Dance-Camp.html
5	Camp Sturtevant Dance Weekend	Deb Comly						Drive Train							5/25/2018	Arcadia CA	http://www.caldancecoop.org/cgi/studriver.cgi
5	Butterfly Whirl	Cis Hinkle	Seth Tepfer	Charlotte Crittenden				Fire and Ash	Contra Sutra	Unnamed					5/25/2018	Clarkston GA	http://butterflywhirl.com/
5	Memorial Day Dawndance	Lisa Greenleaf	Frannie Marr	Luke Donforth				Eloise &co	Russet Trio	Barefoot					5/27/2018	Brattleboro VT	http://www.dawndance.org/
6	Dance Trance Weekend	Gaye Fifer						Toss the Possum							6/8/2018	Lexington KY	http://www.dancetrance.ltda.ws/
6	Flamingo Fling Weekend	Lisa Greenleaf						Stringrays							6/8/2018	Oaklahoma City OK	http://scissortail.org/special-events/flamingo-fling/
6	Swing into Summer	Sarah Van Norstrand	Dan Blim					Faux Paws	Alchemy	Vox Hunters				Larks / Ravens	6/15/2018	Plymouth MA	http://www.swingintosummer.org/
6	Faultline Frolic	Cis Hinkle						Notorious							6/15/2018	Santa Rosa CA	http://nbcds.org/faultline-frolic/
6	Asheville Summer Soiree	George Marshall	Rona Wiener					Wild Asparagus	Toss the Possum						6/22/2018	Asheville NC	http://www.ashevillecontra.com/
6	Lady of the Lake June Week	Will Mentor	Cis Hinkle	Erik Weberg				Spin	Uncle Farmer	Canote Brothers					6/24/2018	Harrison, ID	http://www.ladyofthelake.org/june-week/
6	Old Songs Festival	Sarah Van Norstrand	Sue Rosen					Maivish	Confluence						6/22/2018	Voorheesville NY	http://festival.oldsongs.org/
