typical month	name	caller1	caller2	caller3	caller4	caller5	caller6	band1	band2	band3	band4	band5	band6	roles	date	location	url
1	Chambana Jan Jam	Chet Gray	Gaile Hintze	Jonathan Silver	Scott Meyer			Mean Lids	Uncle Farmer					Larks / Ravens	1/4/2019	Urbana IL	http://www.urbana-contra.org/jan_jam.html
1	Phoenix Winter Frolic	Lindsey Dono						Maivish							1/11/2019	Mesa AZ	https://phxtmd.org/winter-frolic-2019
1	Orange Blossom Ball	Lisa Greenleaf	Bob Isaacs	Andy Shore				Giant Robot Dance	Moving Violations	Sound Traveler					1/18/2019	Daytona FL	http://www.orangeblossomcontra.com/
1	Ralph Page Dance Legacy Weekend															Durham NH	CANCELLED due to weather
1	Contra Dream	Emily Rush	Terry Doyle					Stuff	Playing with Fyre	Mutton Busters	Rushfest				1/18/2019	Dayton VA	https://www.facebook.com/events/dayton-learning-center/shenandoah-valley-contra-dream-2019/520915284994734/
1	Contra Carnivale	Nils Fredland	Gaye Fifer	Kelsey Hartman				Elixir	Rhythm Raptors	Drive Train					1/18/2019	San Louis Obispo CA	http://www.cccds.org/ContraCarnivale/
1	Contra Swing Shift Weekend	Jesse Edgerton						Ripples							1/25/2019	Berea KY	http://www.swingshift.ltda.ws/
1	Florida Snow Ball	Dana Parkinson	Beth Molaro					Wake up Robin	Mean Lids						1/25/2019	Gulfport FL	http://floridasnowball.tampabaycontra.com/
1	Peterborough Snow Ball	Will Mentor	Nils Fredland	Quena Crain	Steve Zakon-Anderson			Cloud Ten	Elixir	Joy Compass	Tempest				1/26/2019	Peterborough NH	http://www.monadnockfolk.org/?tribe_events=%E2%98%BC-%E2%98%BC-%E2%98%BC-peterborough-snow-ball-2018
1	Wintergreen Dance Weekend	Ted Hodapp	Roy Curet	Rab Cummings				Contratopia	Sassafras Stomp						1/25/2019	Bozeman MT	http://www.bozemanfolklore.org/wintergreen.html
2	Tropical Dance Vacation: St Croix	Lisa Greenleaf	George Marshall					Wild Asparagus							2/6/2019	St Croix	http://www.tropicaldancevacation.com/st-croix-contra-week.html
2	Supersonic	Cis Hinkle	Seth Tepfer					Supertrad	Dam Beavers					Larks / Ravens	2/1/2019	Seattle WA	http://www.supersoniccontra.com/
2	Corvallis Contra Dance Weekend	Cis Hinkle	Michael Karcher					Genticorum	KGB						2/15/2019	Corvallis OR	http://corvallisfolklore.org/ccw/
2	Cabin Fever/Knoxville Dance Festival	Seth Tepfer						Steam	Buddy System						2/8/2019	Knoxville TN	https://www.knoxvillecontra.org/
2	Fairbanks Winter Weekend	Lindsey Dono						Sassafras Stomp							2/15/2019	Fairbanks AK	https://contraborealis.org/winter-dance-weekend-2019/
2	Dance Flurry Festival	Bob Isaacs	David Kaynor	Will Mentor	Nils Fredland	Frannie Marr	Alex Deis-Lauby	Nova	Buddy System	Wake up Robin	Gaslight Tinkers				2/15/2019	Saratoa Springs NY	http://www.flurryfestival.org/
2	Bayou Bedlam	Dana Parkinson						Nova							2/8/2019	Houston TX	http://www.bayoubedlam.org/
2	Ski Dance Weekend	Ron Buchanan	Janine Smith	Bob Mathis				unnamed							2/15/2019	Laurel Highlands PA	skidance.com
2	Ann Arbor Dawn Dance Weekend															Ann Arbor MI	CANCELLED for 2019
2	Stellar Days & Nights															Buena Vista CO	CANCELLED
2	Fiddling Frog Dance Festival	Bob Isaacs	Lisa Greenleaf					Eloise &co	Free Raisins						2/22/2019	Pasadena CA	http://www.caldancecoop.org/fiddling-frog/
2	Chance Dance Weekend	open calling						Euphor	Hot Coffee Breakdown						3/1/2019	Cape Girardeau MO	http://chance-dance.angelfire.com/
2	Dancing with the GODS	Seth Tepfer	Roni Wiener					Stringrays	Chimney Swift						2/22/2019	Gainesville FL	http://godsdance.org/?q=weekend2019
3	Lava Meltdown	Cis Hinkle						Riptide							3/1/2019	Lava Hot Springs ID	https://lavameltdown.dance/
3	Pigtown Fling	Alex Deis-Lauby	Dugan Murphy					Meadowhawk	Nova						3/29/2019	Cincinattia OH	http://www.cincinnaticontradance.org/pigtown.htm
3	Spring Breakdown Dance Weekend	unnamed						Steam							3/29/2019	Columbia MO	https://www.eventbrite.com/e/18th-annual-spring-breakdown-contra-dance-weekend-tickets-54393349974
3	Appleseed Allemande	Karin Neils	Barry Dupen					Spy Run String Band	Riverrun Country Dance Band	Hoosier Recruits					3/23/2019	North Manchester IN	http://www.contrafortwayne.org/Appleseed%20Allemande.html
3	Beantown Stomp	Nils Fredland	Shari Shakti	Angela DeCarlis	Dereck Kalish			Free Raisins	Polaris	Chimney Swift	Open Band			Larks / Ravens	3/22/2019	Cambridge MA	https://www.beantownstomp.com
3	DownEast Country Dance Festival	Luke Donforth	Bill Olson					Moving Violations	Steam Packet						3/29/2019	Topsham ME	http://www.deffa.org/festival/
