typical month	name	caller1	caller2	caller3	caller4	caller5	caller6	band1	band2	band3	band4	band5	band6	roles	date	location	url
1	A New Year's Affair	Will Mentor	Beth Molaro					Playing with Fyre	Buddy System						1/6/2017	Jonesborough TN	http://www.historicjonesboroughdancesociety.com/site/calendar/
1	Chambana Jan Jam	Maggie Jo Saylor	Anne Huber	Scott Meyer	Jonathan Silver			Turnip the Beet	Big Bluestem						1/13/2016	Urbana IL	http://www.urbana-contra.org/jan_jam.html
1	Phoenix Winter Frolic	Wendy Graham						Elixir							1/13/2017	Mesa AZ	http://www.phxtmd.org/frolics-main.html
1	Orange Blossom Ball	Lisa Greenleaf	Diane Silver	Bob Isaacs				Agnostic Fiddle Insurgency	Nor'Easter						1/13/2017	Daytona FL	http://www.orangeblossomcontra.com/
1	Ralph Page Dance Legacy Weekend	various						various							1/13/2017	Durham NH	http://ralphpage.neffa.org/
1	Shenandoah Shindig	Gaye Fifer	Shawn Brenneman					Mean Lids	Sligo Creek Stompers	Rushfest					1/13/2017	Dayton VA	http://daytoncontradance.wix.com/shenandoah-shindig
1	Contra Carnivale	Bev Bernbaum	Erik Weberg	Erik Hoffman				Notorious	Clew Bay	Joyride					1/13/2017	San Louis Obispo CA	http://www.cccds.org/ContraCarnivale/
1	Contra Swing Shift Weekend	Barbara Groh						Mean Lids							1/27/2017	Berea KY	http://www.swingshift.ltda.ws/
1	Florida Snow Ball	Sarah VanNorstrand	Steve Zakon-Anderson					Rhythm Raptors	Great Bear						1/27/2017	Gulfport FL	http://floridasnowball.tampabaycontra.com/
1	Peterborough Snow Ball	Will Mentor	Lisa Greenleaf	Adina Gordon	Steve Zakon-Anderson			Pete's Posse	Moving Violations	Maivish	Latter Day Lizards				1/21/2017	Peterborough NH	http://www.monadnockfolk.org/?tribe_events=%E2%98%BC-%E2%98%BC-%E2%98%BC-peterborough-snow-ball-2017
1	Wintergreen Dance Weekend	Michael Hamilton	Roy Curet					Barefoot	Prodigal Sock Puppet						1/27/2017	Bozeman MT	http://www.bozemanfolklore.org/wintergreen.html
2	Tropical Dance Vacation: St Croix	George Marshall	Lisa Greenleaf					Wild Asparagus							1/31/2017	St Croix	http://www.tropicaldancevacation.com/st-croix.html
2	Dancing Fool Feb Fool	Cis Hinkle	Seth Tepfer					Riptide	Free Raisins						2/3/2017	Seattle WA	http://dancingfool.net/
2	Corvallis Contra Dance Weekend	Gaye Fifer	Wendy Graham					Mean Lids	Quarks						2/17/2017	Corvallis OR	http://corvallisfolklore.org/ccw/
2	Cabin Fever/Knoxville Dance Festival	Will Mentor						Pete's Posse	Contraforce						2/10/2017	Knoxville TN	http://kcd.gmn-usa.com/
2	Dance Flurry Festival	various						Great Bear	Buddy System	Fennig's All Star String Band	The Moving Violations	Notorious	Quickstep		2/19/2017	Saratoa Springs NY	http://www.flurryfestival.org/
2	Bayou Bedlam	Susan Kevra						Alchemy							2/10/2017	Houston TX	http://www.bayoubedlam.org/
2	Ski Dance Weekend	Janine Smith	Bob Mathis					Unnamed Band							2/17/2017	Laurel Highlands PA	skidance.com
2	Ann Arbor Dawn Dance Weekend	Adina Gordon						Figments							2/17/2017	Ann Arbor MI	http://aactmad.org/ddw/
2	Midwinter Meltdown Dance Weekend	Jerome Grisanti	Jill Allen	Lisa Harris				Dire Ducks	Euphoria String Band						2/17/2017	Lawrence KS	http://www.lawrencebarndance.org/mmwknd.html
2	Stellar Days & Nights	Tina Fields	Ed Hall					Balance and Swing	unnamed						2/23/2017	Buena Vista CO	http://www.stellardaysandnights.org/
2	Fiddling Frog Dance Festival	Lisa Greenleaf	Will Mentor					Stringrays	Latter Day Lizards	Rushfest					2/24/2017	Pasadena CA	http://www.caldancecoop.org/cgi/frogdriver.cgi
2	Chance Dance Weekend	open calling						Mean Lids	Turnip the Beet	Bruce Zimmerman Band					3/3/2017	Cape Girardeau MO	http://chance-dance.angelfire.com/
2	Dancing with the GODS	Gaye Fifer	Angela DeCarlis					Steam	Buddy System						2/24/2017	Gainesville FL	http://godsdance.org/?q=weekend2017
3	Lava Meltdown	Seth Tepfer						Pete's Posse	Bandage a Trois						3/3/2017	Lava Hot Springs ID	http://www.lavameltdown.info/
3	Tropical Dance Vacation: Hawaii	George Marshall						Maivish							3/11/2016	Big Island, Hawaii	http://www.tropicaldancevacation.com/hawaii.html
3	Memfest Dance Weekend	Lisa Greenleaf						Latter Day Lizards							3/10/2016	Memphis TN	http://www.memphiscontra.org/memfest.html
3	Spring Fever Dance Weekend	Gaye Fifer	Nikki Herbst	Adina Gordon				Wake up Robin	Wilson's Arch	The Whoots					3/11/2017	Aptos CA	https://www.bacds.org/camps/sprwkend2016/
3	Phoenix Spring Frolic	Sarah VanNorstrand						Great Bear							3/10/2017	Mesa AZ	http://www.phxtmd.org/frolics-main.html
3	Pigtown Fling	Bradley Smith	Darlene Underwood					Mulberry Street	Latter Day Lizards						3/24/2017	Cincinattia OH	http://www.cincinnaticontradance.org/pigtown.htm
3	Spring Breakdown Dance Weekend	Susan Kevra						Skippin Cats							3/17/2017	Columbia MO	https://mmtdcolumbia.org/dance-weekend-2-2/
3	Appleseed Allemande	Thos Lankston	Casey Mullaney	Barry Dupen				Spy Run String Band	Riverrun Country Dance Band	Hoosier Recruits					3/18/2017	North Manchester IN	http://www.contrafortwayne.org/Appleseed%20Allemande.html
3	DownEast Country Dance Festival	Mary Wesley	Maggie Robbinson	Chrissy Fowler				Pete's Posse	Ti'Acadie	Hoosier Recruits					3/24/2017	Topsham ME	http://www.deffa.org/festival/
3	Contra Holiday in Medieval England	Lisa Greenleaf						Stringrays	Vertical Expression						3/31/2017	Ely, England	http://www.contraholiday.net/
4	Epicenter dance weekend	Frannie Marr	Sarah VanNorstrand					Genticorum	Wake up Robin						3/31/2017	Mill Valley CA	http://nbcds.org/epicenter2016/index.html
4	Cascade Contras Dance Camp	George Marshall	Erik Weberg					Syncopaths	Maivish						4/7/2017	Fall Creek OR	http://www.eugenefolklore.org/CascadeContras
4	SF Bay Queer Contra Dance Camp	Susan Petrick						Anadama	Uncle Farmer						4/7/2017	Aptos CA	http://www.lcfd.org/sf/DanceCamp/wcamp.html
4	Chesapeake Dance Weekend	Tony Parkes						Tidal Wave							4/28/2017	Edgewater MD	http://www.chesapeakedanceweekend.org/
4	Springforth Ball	Gaye Fifer						Free Raisins							4/7/2017	Richmond VA	http://tadamsva.org/springforth/
4	Call of the Loon Dance Weekend	David Millstone	Carol Ormand					Latter Day Lizards	Northern Aire						4/7/2017	Minneapolis MN	http://calloftheloon.org/
4	Spring Dance Romance	Adina Gordon	Rick Mohr					Pete's Posse	Boom Chuck	Rushfest					4/21/2017	Chapel Hill NC	http://www.tcdancers.org/SDR/sdr.shtml
4	Palmetto Bug Stomp	Beth Molaro	Sarah VanNorstrand					Great Bear	Contraforce						4/7/2017	Charleston SC	http://charlestonfolk.weebly.com/palmetto-bug-stomp.html
4	When in Doubt Swing	Joseph Pimentel						Maivish							4/21/2017	Dallas TX	http://www.nttds.org/wids.html
4	NEFFA	various						various							4/21/2017	Mansfield MA	http://neffa.org/What_is_Festival.html
4	Spring Thaw Weekend	Mary Wesley	Sylvie Toupin					Genticorum	Tartinade						4/7/2017	Toronto ON	http://ieee.uwaterloo.ca/~tcd/thaw.php
4	Fiddlehead Frolic	Donna Hunt						Nova	Ginger Equality						4/1/2017	Ithaca NY	http://www.hands4dancers.org/upcoming-dances/2017/4/1/fiddlehead-frolic
4	Gypsy Meltdown	Seth Tepfer	Gaye Fifer					Stringrays	Toss the Possum	Rushfest					3/17/2017	Tega Cay SC	http://charlottedancegypsies.org/?page_id=3747
4	Hands Four Spring Dance Weekend	Wendy Graham	Frank Jenkins					Elixir							4/21/2017	Berea KY	http://www.hands4-berea.com/Workshops.html
4	Dandelion Romp	Seth Tepfer	Michael Hamilton					Mean Lids	Barefoot						4/7/2017	Oberlin OH	http://oberlin.edu/stuorg/dromp/
4	Portland Raindance Weekend	Beth Molaro	Sarah VanNorstrand					Great Bear	Stringrays						4/21/2017	Portland OR	http://www.portlandraindance.org/
4	Trillium Twirl	Cis Hinkle						Moving Violations							4/28/2017	Dowling MI	https://sites.google.com/site/trilliumtwirl/
4	Spring Fling Owen Sound	Will Mentor	Frank Francalanza					Dance-A-Rama	Scatter the Cats						5/5/2017	Owen Sound ON	http://fiddlefern.ca/spring-fling/
4	Mad Robin Romp	Josiah Roberts						Heat Advisory							4/28/2017	Bloomington IA	http://bloomingtoncontra.org/mad-robin-romp/
5	Gender-Free Dance Camp (Spring)	Linda Leslie	Chris Ricciotti					Unnamed							5/5/2017	Woodstock CT	http://lcfd.org/lcfd/lcfd-spring-dance-camp/
5	Whitewater Whirl	Gaye Fifer	Darlene Underwood					Party of Three	Contrarians						5/5/2017	Fayetteville WV	http://www.whitewaterwhirl.org/
5	Lake Eden Arts Festival - Spring	Michael Hamilton	Adina Gordon	Emily Abel				Barefoot	Notorious	Contraforce					5/11/2017	Black Mountain NC	http://www.theleaf.org/the-festival/
5	May Madness Dance Weekend	Cis Hinkle						Mean Lids	Riptide						4/15/2017	Clarkdale AZ	http://www.danceinaz.org/
5	Almost Heaven Dance Weekend	George Marshall	Tim Van Egmond	Emily Rush				Swallowtail	The O-Tones	Barefoot	Rushfest				5/18/2017	Darlington MD	https://sites.google.com/site/ahsince1988/home
